married,wage,exper,age,coll,games,minutes,guard,forward,center,points,rebounds,assists,draft,allstar,avgmin,black,children
1,1410.0,6,28,4,69,2201,0,1,0,11,7,3,33.0,0,31.9,1,1
0,1186.0,2,23,3,63,1358,1,0,0,11,3,2,12.0,0,21.56,1,1
1,2002.0,5,27,4,81,2999,1,0,0,21,5,2,4.0,0,37.02,1,0
1,2452.0,8,30,4,76,1910,0,1,0,8,5,2,11.0,0,25.13,0,0
0,3057.0,6,29,4,72,2410,0,0,1,15,10,2,9.0,0,33.47,1,0
0,2252.0,3,25,4,78,2776,1,0,0,17,5,5,5.0,0,35.59,1,0
0,866.0,2,23,4,82,2560,0,1,0,14,8,2,8.0,0,31.22,1,0
0,650.0,3,25,4,72,1242,1,0,0,6,2,2,21.0,0,17.25,0,0
0,150.0,4,26,4,30,579,0,1,0,8,5,1,,0,19.3,0,0
0,1722.0,2,24,4,76,2127,1,0,0,13,4,2,8.0,0,27.99,1,0
1,670.0,3,24,4,82,1472,1,0,0,5,1,3,23.0,0,17.95,1,0
0,800.0,4,26,4,82,2533,1,0,0,15,3,7,21.0,0,30.89,1,1
1,1470.0,10,31,4,76,1524,0,1,0,10,8,1,10.0,0,20.05,1,0
0,1375.0,8,31,4,82,1921,0,0,1,4,5,1,69.0,0,23.43,1,1
0,150.0,1,26,0,5,33,0,1,0,3,3,0,,0,6.6,1,1
1,1600.0,5,27,4,49,1053,0,1,0,8,5,1,6.0,0,21.49,1,0
0,2730.0,2,25,4,70,2428,0,1,0,17,9,4,3.0,0,34.69,0,1
0,375.0,2,25,4,55,626,0,1,0,5,4,0,28.0,0,11.38,1,0
0,2000.0,1,23,4,79,2415,1,0,0,17,4,3,5.0,1,30.57,1,0
0,270.0,2,24,4,80,1617,1,0,0,6,2,4,34.0,0,20.21,1,0
1,1275.0,5,27,4,72,2182,1,0,0,15,3,2,38.0,0,30.31,1,0
1,2075.0,6,28,4,71,2206,1,0,0,14,3,7,48.0,0,31.07,1,0
1,2925.0,3,24,2,82,3135,1,0,0,19,4,10,2.0,1,38.23,1,0
1,3575.0,9,30,3,77,1817,0,0,1,9,7,1,3.0,0,23.6,1,0
1,600.0,1,25,4,79,1950,0,1,0,6,6,1,29.0,0,24.68,1,0
0,3440.0,4,27,3,77,2778,0,1,0,20,11,3,1.0,1,36.08,1,1
1,1200.0,6,29,4,82,2727,1,0,0,14,3,3,,0,33.26,1,0
0,1200.0,7,30,4,82,1969,0,1,0,12,6,1,2.0,0,24.01,1,0
0,150.0,3,26,3,29,591,1,0,0,8,2,2,34.0,0,20.38,1,0
1,650.0,13,36,4,28,226,0,1,0,2,2,0,,0,8.07,1,1
1,1960.0,6,28,4,50,1349,0,1,0,11,5,2,4.0,0,26.98,1,1
1,921.0,4,26,4,30,319,0,0,1,2,3,0,,0,10.63,0,0
0,650.0,1,24,4,48,386,1,0,0,3,1,2,16.0,0,8.04,0,0
0,950.0,4,26,4,70,877,0,1,0,5,4,0,,0,12.53,1,1
1,1269.0,3,26,4,80,1994,1,0,0,8,2,5,12.0,0,24.92,1,0
0,650.0,4,26,4,73,1402,0,1,0,5,5,1,23.0,0,19.21,1,0
0,764.0,2,24,4,56,1333,1,0,0,11,1,3,20.0,0,23.8,1,0
1,3625.0,9,32,4,79,2972,0,0,1,25,11,2,1.0,1,37.62,1,0
1,2234.0,11,33,3,82,2204,1,0,0,10,2,4,11.0,0,26.88,1,1
0,1100.0,5,27,4,73,1903,0,1,0,7,6,2,,0,26.07,1,1
0,2000.0,9,30,4,82,2932,0,1,0,12,12,3,9.0,0,35.76,1,1
1,1100.0,11,33,3,19,499,1,0,0,8,2,5,31.0,0,26.26,1,0
1,2557.0,6,29,4,43,1105,0,1,0,10,4,1,3.0,0,25.7,1,1
1,1120.0,5,29,4,59,2057,1,0,0,19,3,6,,0,34.86,1,1
1,1600.0,13,36,4,70,774,0,0,1,3,3,0,14.0,0,11.06,1,1
0,1445.0,2,24,4,65,1515,1,0,0,10,4,2,17.0,0,23.31,0,1
0,2670.0,5,26,3,81,2811,1,0,0,16,6,4,11.0,0,34.7,1,0
0,650.0,2,24,4,74,1371,0,1,0,5,5,1,15.0,0,18.53,1,1
1,900.0,5,30,4,70,948,1,0,0,5,2,2,66.0,0,13.54,1,0
0,1965.0,7,29,4,70,2570,0,1,0,15,11,3,10.0,1,36.71,1,1
0,1244.0,1,23,3,82,3015,1,0,0,16,5,7,2.0,1,36.77,1,1
1,985.0,11,33,4,29,309,0,0,1,1,2,0,21.0,0,10.66,0,0
0,3900.0,2,22,3,81,3224,0,0,1,29,13,2,1.0,1,39.8,1,1
1,150.0,17,39,4,45,384,0,0,1,2,2,0,14.0,0,8.53,1,0
1,890.0,4,28,4,74,1357,0,1,0,7,3,1,52.0,0,18.34,1,1
0,2820.0,4,26,3,82,2283,0,1,0,13,3,3,4.0,0,27.84,1,1
0,1512.0,5,28,4,77,2037,1,0,0,9,5,5,24.0,0,26.45,1,0
1,900.0,8,32,4,68,1536,0,1,0,7,4,1,17.0,0,22.59,1,0
1,2700.0,1,22,1,49,1385,0,0,1,10,6,2,2.0,0,28.27,1,0
1,182.0,2,27,0,65,980,1,0,0,6,2,0,,0,15.08,1,1
1,2380.0,11,33,4,77,1750,1,0,0,17,3,2,10.0,0,22.73,1,0
0,1650.0,6,30,4,80,2336,0,1,0,9,5,1,7.0,0,29.2,1,0
1,1040.0,2,24,4,82,3147,0,1,0,18,10,2,9.0,0,38.38,1,1
0,613.0,5,26,4,38,638,0,1,0,8,5,1,,0,16.79,1,0
1,1690.0,13,35,4,68,1555,1,0,0,9,2,3,31.0,0,22.87,0,1
1,3250.0,10,31,3,65,2298,0,1,0,22,11,5,5.0,1,35.35,1,1
0,2300.0,7,28,4,67,2449,1,0,0,20,3,10,7.0,1,36.55,1,0
1,650.0,9,32,4,74,848,0,0,1,4,3,1,6.0,0,11.46,0,1
0,2975.0,6,29,4,80,3207,1,0,0,17,4,3,14.0,0,40.09,0,0
1,3250.0,6,28,4,68,2520,0,1,0,21,7,4,1.0,1,37.06,1,0
1,2333.0,9,30,4,79,2557,0,1,0,17,7,2,2.0,0,32.37,1,0
1,1300.0,6,29,4,79,1441,0,1,0,6,4,1,21.0,0,18.24,1,0
1,1578.0,11,32,3,68,2334,1,0,0,19,7,5,14.0,1,34.32,0,1
0,790.0,7,29,4,6,86,0,0,1,2,4,1,75.0,0,14.33,1,0
1,2429.0,6,29,4,77,2112,0,1,0,10,5,1,12.0,0,27.43,1,1
0,2940.0,10,32,4,78,1276,0,1,0,7,4,1,46.0,0,16.36,1,0
0,942.0,2,23,3,65,820,0,1,0,7,2,1,18.0,0,12.62,1,0
1,2500.0,9,31,4,77,2074,1,0,0,13,3,5,24.0,0,26.94,1,1
0,2336.0,5,28,4,82,2853,0,1,0,20,7,2,36.0,1,34.79,1,0
0,650.0,1,24,3,58,673,1,0,0,5,1,1,21.0,0,11.6,1,0
0,1560.0,6,28,3,82,2889,1,0,0,17,5,9,19.0,0,35.23,1,0
1,2500.0,13,34,3,81,2636,0,1,0,10,10,1,10.0,0,32.54,1,0
1,1850.0,10,35,4,71,2094,0,1,0,13,6,3,57.0,0,29.49,0,0
1,550.0,3,26,4,61,1041,1,0,0,5,2,2,31.0,0,17.07,1,1
1,1260.0,4,26,4,41,674,0,0,1,4,5,0,18.0,0,16.44,1,1
0,1616.0,1,23,4,19,499,1,0,0,7,2,6,7.0,0,26.26,0,0
0,150.0,1,24,4,55,667,0,0,1,3,3,0,52.0,0,12.13,0,1
0,850.0,7,29,3,68,2402,0,1,0,12,12,1,8.0,0,35.32,1,1
1,2500.0,6,29,4,78,2897,1,0,0,23,4,4,5.0,1,37.14,1,0
0,1743.0,4,25,4,75,2702,0,1,0,15,8,4,7.0,0,36.03,1,0
0,940.0,3,25,4,66,877,1,0,0,4,1,2,19.0,0,13.29,1,1
0,1462.0,9,31,4,79,2567,1,0,0,13,3,7,87.0,0,32.49,1,0
0,1658.0,2,24,4,57,1356,0,1,0,11,4,2,7.0,0,23.79,1,0
0,200.0,2,26,4,57,1221,0,1,0,8,5,1,36.0,0,21.42,0,0
0,2075.0,6,27,4,80,2488,1,0,0,12,3,4,10.0,0,31.1,1,1
0,2407.0,12,33,3,59,1133,0,1,0,7,5,1,2.0,0,19.2,1,1
1,1195.0,4,28,4,77,1949,1,0,0,10,2,4,29.0,0,25.31,0,0
1,1807.0,5,24,4,73,2409,0,1,0,12,4,3,3.0,0,33.0,1,0
1,150.0,5,30,4,28,94,0,0,1,2,1,0,79.0,0,3.36,0,1
1,2156.0,8,30,4,77,2029,0,1,0,12,3,2,4.0,0,26.35,1,1
1,1818.0,5,26,3,70,1344,0,1,0,9,3,1,5.0,0,19.2,1,1
1,5740.0,5,29,4,80,3241,0,0,1,30,11,5,1.0,1,40.51,1,1
0,2450.0,8,33,4,79,2989,0,1,0,5,17,2,27.0,0,37.84,1,1
0,150.0,1,23,4,40,339,1,0,0,2,1,1,47.0,0,8.48,1,0
0,525.0,6,29,3,80,1690,1,0,0,9,2,2,39.0,0,21.13,1,0
0,2000.0,5,26,4,79,2435,1,0,0,14,3,4,5.0,0,30.82,1,0
0,600.0,3,25,4,71,866,0,1,0,3,3,0,27.0,0,12.2,1,0
0,617.0,2,27,4,45,280,0,0,1,3,3,0,23.0,0,6.22,1,0
0,800.0,6,25,2,79,2597,0,1,0,18,11,3,17.0,1,32.87,1,0
1,150.0,2,25,4,15,86,0,1,0,4,1,1,45.0,0,5.73,1,0
0,700.0,4,25,4,27,78,0,0,1,2,1,0,14.0,0,2.89,0,0
1,890.0,9,30,4,73,1887,1,0,0,6,4,5,30.0,0,25.85,1,1
0,2383.0,5,26,4,81,2881,1,0,0,17,3,6,2.0,1,35.57,1,1
0,3587.0,11,33,4,81,2170,0,1,0,12,5,1,4.0,0,26.79,1,0
0,170.0,5,27,4,35,152,0,0,1,2,1,0,39.0,0,4.34,0,0
1,1151.0,10,31,4,81,2728,0,1,0,15,6,3,8.0,0,33.68,0,1
1,810.0,3,26,4,55,1070,0,1,0,7,5,0,,0,19.45,1,1
1,150.0,2,25,4,56,559,1,0,0,3,1,1,,0,9.98,1,0
0,200.0,2,25,4,45,313,1,0,0,3,1,2,,0,6.96,0,0
1,1771.0,8,31,4,80,2820,1,0,0,16,5,4,46.0,0,35.25,0,1
1,1800.0,10,32,4,75,1619,1,0,0,8,2,3,13.0,0,21.59,1,1
0,1200.0,2,24,4,63,763,0,1,0,4,3,1,10.0,0,12.11,0,0
1,3081.0,9,31,3,82,3329,0,1,0,25,12,4,13.0,1,40.6,1,1
1,150.0,1,24,4,67,1121,0,1,0,5,3,1,45.0,0,16.73,1,0
0,1581.0,4,26,4,79,2210,0,0,1,9,8,1,6.0,0,27.97,1,0
1,2400.0,10,32,4,82,2969,1,0,0,15,3,13,16.0,1,36.21,0,1
0,650.0,1,23,3,15,92,0,0,1,1,1,0,18.0,0,6.13,1,0
0,150.0,1,24,4,75,1321,1,0,0,7,3,1,,0,17.61,1,0
1,2004.0,6,27,4,60,2025,1,0,0,18,2,3,8.0,0,33.75,0,1
0,2000.0,1,23,4,65,1604,1,0,0,12,3,2,6.0,0,24.68,1,0
0,2312.0,8,30,4,69,1485,0,0,1,7,5,1,33.0,0,21.52,1,0
1,1650.0,2,25,4,78,2795,0,1,0,17,9,4,6.0,0,35.83,0,0
0,601.0,2,24,4,75,2487,0,1,0,18,6,2,19.0,0,33.16,0,0
0,500.0,1,23,0,54,650,0,0,1,6,4,0,30.0,0,12.04,0,0
1,500.0,2,25,4,61,749,1,0,0,4,1,2,40.0,0,12.28,1,0
1,283.0,2,26,4,65,1035,1,0,0,6,1,3,32.0,0,15.92,0,0
0,1722.0,8,30,4,82,2303,1,0,0,10,2,6,22.0,0,28.09,0,0
1,600.0,3,26,4,3,35,0,1,0,4,2,1,,0,11.67,1,1
1,400.0,6,30,4,73,1397,0,1,0,5,4,1,5.0,0,19.14,1,0
0,1400.0,3,26,4,82,2605,1,0,0,15,5,2,9.0,0,31.77,1,1
1,1630.0,5,27,4,81,2915,1,0,0,14,5,10,12.0,0,35.99,1,1
1,1400.0,9,31,4,82,2149,0,1,0,8,5,2,35.0,0,26.21,1,1
0,650.0,1,23,4,16,107,0,1,0,3,1,1,15.0,0,6.69,1,1
1,1200.0,11,33,4,82,2147,1,0,0,10,3,3,48.0,0,26.18,0,1
0,1228.0,6,28,4,82,1608,0,0,1,6,4,1,28.0,0,19.61,1,1
0,1510.0,7,30,3,82,2539,0,1,0,12,6,3,19.0,0,30.96,1,0
0,2625.0,10,31,4,80,2867,0,1,0,19,12,2,11.0,0,35.84,1,0
1,565.0,1,26,4,81,1732,0,1,0,8,6,1,45.0,0,21.38,1,0
0,688.0,3,25,4,66,2292,0,1,0,12,11,1,13.0,0,34.73,1,0
1,833.0,1,24,4,27,186,0,1,0,2,2,0,14.0,0,6.89,0,0
1,2000.0,7,28,4,79,2711,1,0,0,11,4,9,18.0,0,34.32,1,1
0,1262.0,7,28,3,76,2613,0,1,0,12,5,4,9.0,0,34.38,1,0
1,3210.0,7,29,4,79,2638,1,0,0,20,3,3,11.0,1,33.39,1,0
1,715.0,5,31,4,75,1084,0,1,0,5,3,1,54.0,0,14.45,1,1
1,600.0,11,33,3,67,1197,1,0,0,10,2,2,4.0,0,17.87,1,1
0,2500.0,6,28,4,78,2113,0,0,1,16,6,2,2.0,0,27.09,0,0
0,2000.0,12,33,3,30,282,0,1,0,2,3,1,5.0,0,9.4,1,0
