origin,destin,id,dist,passen,fare,ldist,lfare,ldistsq,concen,lpassen
"ATLANTA, GA","FT. MYERS, FL",60,0.515,0.46,127,6.244167,4.8441873,38.98962,0.72540003,6.1312265
"ATLANTA, GA","GREENSBORO, NC",61,0.306,0.71,110,5.723585,4.7004805,32.759426,0.665,6.565265
"ATLANTA, GA","HARTFORD, CT",62,0.859,0.759,197,6.755769,5.2832036,45.64041,0.8162,6.632002
"ATLANTA, GA","HOUSTON, TX",63,0.692,1.554,151,6.539586,5.0172796,42.766186,0.45279998,7.3485875
"ATLANTA, GA","INDIANAPOLIS, IN",64,0.432,0.434,235,6.0684257,5.4595857,36.82579,0.8269,6.0730443
"ATLANTA, GA","JACKSON, MS",65,0.341,0.176,269,5.8318825,5.5947113,34.010853,0.9568,5.170484
"ATLANTA, GA","JACKSONVILLE, FL",66,0.27,0.955,119,5.598422,4.7791233,31.342329,0.7078,6.8617115
"ATLANTA, GA","KANSAS CITY, MO",67,0.693,0.808,168,6.54103,5.123964,42.785072,0.6367,6.694562
"ATLANTA, GA","LAS VEGAS, NV",68,1.747,0.816,221,7.4656553,5.398163,55.736008,0.6752,6.7044144
"ATLANTA, GA","LEXINGTON/FRANKFORT, KY",69,0.303,0.127,232,5.7137327,5.4467373,32.64674,0.9829,4.8441873
"ATLANTA, GA","LITTLE ROCK, AR",70,0.453,0.207,226,6.115892,5.420535,37.404133,0.88519996,5.332719
"ATLANTA, GA","LOS ANGELES, CA",71,1.946,1.537,301,7.573531,5.7071104,57.358376,0.6369,7.337588
"ATLANTA, GA","LOUISVILLE, KY",72,0.321,0.272,272,5.771441,5.605802,33.309532,0.9508,5.605802
"ATLANTA, GA","MEMPHIS, TN",73,0.332,1.12,106,5.805135,4.6634393,33.69959,0.5882,7.021084
"ATLANTA, GA","MIAMI, FL",74,0.595,1.591,134,6.3885612,4.89784,40.813713,0.5759,7.372118
"ATLANTA, GA","MILWAUKEE, WI",75,0.669,0.401,208,6.505784,5.3375382,42.325226,0.5352,5.9939613
"ATLANTA, GA","MINNEAPOLIS, MN",76,0.906,1.192,141,6.809039,4.94876,46.363014,0.546,7.083388
"ATLANTA, GA","MOBILE, AL",77,0.302,0.176,165,5.710427,5.1059456,32.608974,0.9889,5.170484
"ATLANTA, GA","NASHVILLE, TN",78,0.214,0.303,274,5.365976,5.613128,28.793697,0.991,5.7137327
"ATLANTA, GA","NEW ORLEANS, LA",79,0.425,0.998,131,6.052089,4.8751974,36.627785,0.6656,6.905753
"ATLANTA, GA","NEW YORK, NY",80,0.756,6.768,168,6.6280413,5.123964,43.93093,0.6227,8.819961
"ATLANTA, GA","NEWPORT NEWS/WMSBURG, VA",81,0.508,0.272,107,6.2304816,4.6728287,38.8189,0.96,5.605802
"ATLANTA, GA","NORFOLK, VA",82,0.516,0.439,132,6.2461066,4.882802,39.013847,0.9142,6.0844994
"ATLANTA, GA","OKLAHOMA CITY, OK",83,0.761,0.254,204,6.6346335,5.31812,44.018364,0.71620005,5.5373344
"ATLANTA, GA","OMAHA, NE",84,0.822,0.205,232,6.7117405,5.4467373,45.04746,0.71830004,5.32301
"ATLANTA, GA","ONTARIO, CA",85,1.902,0.221,286,7.550661,5.655992,57.01248,0.5325,5.398163
"ATLANTA, GA","ORLANDO, FL",86,0.403,1.982,133,5.9989367,4.890349,35.98724,0.65849996,7.5918617
"ATLANTA, GA","PHILADELPHIA, PA",87,0.665,2.318,129,6.499787,4.8598123,42.24723,0.5877,7.74846
"ATLANTA, GA","PHOENIX, AZ",88,1.587,0.716,284,7.369601,5.6489744,54.311016,0.6051,6.5736804
"ATLANTA, GA","PITTSBURGH, PA",89,0.526,0.803,137,6.265301,4.919981,39.253998,0.4657,6.6883545
"ATLANTA, GA","PORTLAND, OR",90,2.173,0.353,320,7.683864,5.768321,59.041767,0.6794,5.866468
"ATLANTA, GA","PROVIDENCE, RI",91,0.904,0.23,230,6.8068295,5.4380794,46.332928,0.8343,5.4380794
"ATLANTA, GA","RALEIGH/DURHAM, NC",92,0.356,1.411,117,5.874931,4.762174,34.514812,0.5527,7.2520537
"ATLANTA, GA","RICHMOND, VA",93,0.481,0.535,194,6.175867,5.267858,38.141335,0.94269997,6.2822666
"ATLANTA, GA","ROCHESTER, NY",94,0.75,0.193,197,6.6200733,5.2832036,43.82537,0.8061,5.26269
"ATLANTA, GA","SACRAMENTO, CA",95,2.094,0.244,305,7.6468315,5.7203116,58.474033,0.588,5.497168
"ATLANTA, GA","SALT LAKE CITY, UT",96,1.59,0.53,234,7.3714895,5.4553213,54.33886,0.62950003,6.272877
"ATLANTA, GA","SAN ANTONIO, TX",97,0.874,0.418,224,6.7730803,5.411646,45.87462,0.72980005,6.0354815
"ATLANTA, GA","SAN DIEGO, CA",98,1.892,0.523,303,7.5453897,5.7137327,56.932903,0.6482,6.2595816
"ATLANTA, GA","SAN FRANCISCO, CA",99,2.139,1.237,370,7.6680937,5.913503,58.79966,0.6385,7.1204443
"ATLANTA, GA","SAN JOSE, CA",100,2.117,0.372,407,7.6577554,6.0088134,58.641216,0.5761,5.918894
"ATLANTA, GA","SANTA ANA, CA",101,1.92,0.341,347,7.5600805,5.8493247,57.15482,0.59669995,5.8318825
"ATLANTA, GA","SAVANNAH, GA",102,0.215,0.453,97,5.370638,4.574711,28.843752,0.7487,6.115892
"ATLANTA, GA","SEATTLE, WA",103,2.183,0.607,343,7.6884556,5.8377304,59.11235,0.603,6.408529
"ATLANTA, GA","ST. LOUIS, MO",104,0.483,0.707,226,6.1800165,5.420535,38.192604,0.4937,6.561031
"ATLANTA, GA","SYRACUSE, NY",105,0.794,0.198,202,6.6770835,5.3082676,44.583443,0.7708,5.288267
"ATLANTA, GA","TAMPA, FL",106,0.406,1.769,135,6.0063534,4.905275,36.076283,0.6947,7.47817
"ATLANTA, GA","TULSA, OK",107,0.674,0.188,233,6.5132303,5.4510384,42.42217,0.7546,5.236442
"ATLANTA, GA","VALPARAISO, FL",108,0.264,0.217,112,5.575949,4.7184987,31.09121,0.681,5.379897
"ATLANTA, GA","WASHINGTON, DC",109,0.54,3.195,185,6.291569,5.220356,39.583843,0.5607,8.069343
"ATLANTA, GA","WEST PALM BEACH, FL",110,0.545,0.557,159,6.300786,5.0689044,39.699905,0.96940005,6.322565
"ATLANTIC CITY, NJ","BOSTON, MA",111,0.274,0.005,241,5.613128,5.484797,31.507208,0.9583,1.609438
"ATLANTIC CITY, NJ","CLEVELAND, OH",112,0.406,0.003,252,6.0063534,5.529429,36.076283,1.0,1.0986123
"ATLANTIC CITY, NJ","DETROIT, MI",113,0.506,0.002,228,6.2265368,5.4293456,38.76976,0.70589995,0.6931472
"ATLANTIC CITY, NJ","FT. LAUDERDALE, FL",114,0.977,0.365,119,6.8844867,4.7791233,47.396156,0.9935,5.8998976
"ATLANTIC CITY, NJ","MYRTLE BEACH, SC",115,0.466,0.13,88,6.1441855,4.477337,37.751015,0.9983,4.8675346
"ATLANTIC CITY, NJ","ORLANDO, FL",116,0.852,0.377,114,6.7475867,4.7361984,45.529926,0.9934,5.9322453
"AUSTIN, TX","BALTIMORE, MD",117,1.342,0.436,183,7.201916,5.209486,51.867596,0.5248,6.0776424
"AUSTIN, TX","BOSTON, MA",118,1.695,0.252,378,7.435438,5.934894,55.28574,0.3696,5.529429
"AUSTIN, TX","CHICAGO, IL",119,0.972,0.645,246,6.879356,5.5053315,47.32554,0.56340003,6.46925
"AUSTIN, TX","DALLAS, TX",120,0.183,2.035,95,5.209486,4.553877,27.138744,0.77839994,7.6182513
"AUSTIN, TX","DENVER, CO",121,0.769,0.413,266,6.645091,5.583496,44.157234,0.5772,6.0234475
"AUSTIN, TX","EL PASO, TX",122,0.525,0.353,125,6.263398,4.828314,39.230156,0.9414,5.866468
"AUSTIN, TX","HARLINGEN, TX",123,0.28,0.208,74,5.6347895,4.304065,31.750853,0.9854,5.3375382
"AUSTIN, TX","HOUSTON, TX",124,0.152,0.963,83,5.0238805,4.4188404,25.239374,0.7068,6.8700533
"AUSTIN, TX","LAS VEGAS, NV",125,1.085,0.484,150,6.989335,5.0106354,48.850803,0.71510005,6.182085
"AUSTIN, TX","LOS ANGELES, CA",126,1.238,0.506,197,7.1212525,5.2832036,50.71224,0.4448,6.2265368
"AUSTIN, TX","LUBBOCK, TX",127,0.335,0.29,95,5.8141303,4.553877,33.80411,0.9516,5.669881
"AUSTIN, TX","MIDLAND/ODESSA, TX",128,0.29,0.163,90,5.669881,4.4998097,32.14755,0.982,5.09375
"AUSTIN, TX","NASHVILLE, TN",129,0.754,0.257,141,6.6253924,4.94876,43.895824,0.77760005,5.549076
"AUSTIN, TX","NEW ORLEANS, LA",130,0.446,0.215,141,6.100319,4.94876,37.21389,0.67730004,5.370638
"AUSTIN, TX","NEW YORK, NY",131,1.509,0.679,373,7.3192024,5.9215784,53.570724,0.4375,6.5206213
"AUSTIN, TX","ORLANDO, FL",132,0.996,0.285,171,6.903747,5.1416636,47.661724,0.41439998,5.652489
"AUSTIN, TX","PHOENIX, AZ",133,0.868,0.58,147,6.7661915,4.9904327,45.781345,0.5145,6.363028
"AUSTIN, TX","SAN DIEGO, CA",134,1.163,0.305,179,7.0587583,5.187386,49.82607,0.5128,5.7203116
"AUSTIN, TX","SAN FRANCISCO, CA",135,1.501,0.346,238,7.3138866,5.4722705,53.49294,0.3978,5.846439
"AUSTIN, TX","SAN JOSE, CA",136,1.471,0.684,278,7.293698,5.627621,53.19803,0.80370003,6.527958
"AUSTIN, TX","SEATTLE, WA",137,1.764,0.246,219,7.4753394,5.389072,55.8807,0.24450001,5.5053315
"AUSTIN, TX","ST. LOUIS, MO",138,0.718,0.217,191,6.5764694,5.2522736,43.24995,0.4682,5.379897
"AUSTIN, TX","WASHINGTON, DC",139,1.308,0.305,347,7.1762547,5.8493247,51.49863,0.3055,5.7203116
"BALTIMORE, MD","BIRMINGHAM, AL",140,0.682,0.481,112,6.5250297,4.7184987,42.57601,0.806,6.175867
"BALTIMORE, MD","BOSTON, MA",141,0.37,0.697,150,5.913503,5.0106354,34.96952,0.96269995,6.5467854
"BALTIMORE, MD","CHARLOTTE, NC",142,0.36,0.264,258,5.886104,5.5529594,34.64622,0.9179,5.575949
"BALTIMORE, MD","CHICAGO, IL",143,0.611,2.613,120,6.4150968,4.787492,41.153465,0.3692,7.868254
"BALTIMORE, MD","CINCINNATI, OH",144,0.43,0.192,225,6.063785,5.4161005,36.76949,0.6987,5.2574954
"BALTIMORE, MD","CLEVELAND, OH",145,0.314,1.333,68,5.749393,4.2195077,33.05552,0.39349997,7.195187
"BALTIMORE, MD","COLUMBUS, OH",146,0.337,0.053,183,5.820083,5.209486,33.873367,0.39180002,3.9702919
"BALTIMORE, MD","DALLAS, TX",147,1.217,0.554,320,7.104144,5.768321,50.468864,0.6118,6.317165
"BALTIMORE, MD","DENVER, CO",148,1.491,0.587,254,7.3072023,5.5373344,53.395206,0.575,6.375025
"BALTIMORE, MD","DETROIT, MI",149,0.408,0.811,152,6.011267,5.0238805,36.135334,0.8365,6.698268
"BALTIMORE, MD","FT. LAUDERDALE, FL",150,0.925,1.116,124,6.829794,4.8202815,46.646084,0.5425,7.017506
"BALTIMORE, MD","FT. MYERS, FL",151,0.921,0.218,140,6.82546,4.9416423,46.586903,0.7364,5.3844953
"BALTIMORE, MD","HARTFORD, CT",152,0.283,1.202,62,5.645447,4.1271343,31.871069,0.7041,7.091742
"BALTIMORE, MD","HOUSTON, TX",153,1.235,0.939,198,7.1188264,5.288267,50.67769,0.5269,6.8448153
"BALTIMORE, MD","INDIANAPOLIS, IN",154,0.516,0.463,106,6.2461066,4.6634393,39.013847,0.6775,6.1377273
"BALTIMORE, MD","JACKSONVILLE, FL",155,0.663,0.646,103,6.496775,4.634729,42.208088,0.549,6.4707994
"BALTIMORE, MD","KANSAS CITY, MO",156,0.967,0.477,153,6.8741984,5.030438,47.254604,0.6968,6.1675167
"BALTIMORE, MD","LAS VEGAS, NV",157,2.107,0.99,159,7.6530204,5.0689044,58.56872,0.4973,6.897705
"BALTIMORE, MD","LOS ANGELES, CA",158,2.33,1.44,218,7.7536235,5.3844953,60.11868,0.4164,7.2723985
"BALTIMORE, MD","LOUISVILLE, KY",159,0.495,0.684,77,6.204558,4.3438053,38.49654,0.8771,6.527958
"BALTIMORE, MD","MIAMI, FL",160,0.946,0.411,142,6.8522425,4.955827,46.953228,0.6785,6.0185933
"BALTIMORE, MD","MINNEAPOLIS, MN",161,0.936,0.3,278,6.8416157,5.627621,46.807705,0.76269996,5.7037826
"BALTIMORE, MD","NASHVILLE, TN",162,0.587,1.014,94,6.375025,4.543295,40.64094,0.8926,6.921658
"BALTIMORE, MD","NEW ORLEANS, LA",163,0.998,0.649,131,6.905753,4.8751974,47.689426,0.5232,6.475433
"BALTIMORE, MD","NEW YORK, NY",164,0.182,0.369,178,5.2040067,5.1817837,27.081686,0.6078,5.9107966
"BALTIMORE, MD","OKLAHOMA CITY, OK",165,1.183,0.211,168,7.075809,5.123964,50.067074,0.3052,5.351858
"BALTIMORE, MD","OMAHA, NE",166,1.028,0.128,148,6.9353704,4.9972124,48.09936,0.2549,4.8520303
"BALTIMORE, MD","ONTARIO, CA",167,2.288,0.235,184,7.7354336,5.214936,59.836933,0.2757,5.4595857
"BALTIMORE, MD","ORLANDO, FL",168,0.787,1.643,114,6.668228,4.7361984,44.465267,0.6173,7.404279
"BALTIMORE, MD","PHOENIX, AZ",169,1.999,1.108,171,7.6004024,5.1416636,57.766117,0.4409,7.010312
"BALTIMORE, MD","PORTLAND, OR",170,2.362,0.347,190,7.767264,5.247024,60.330387,0.2059,5.8493247
"BALTIMORE, MD","PROVIDENCE, RI",171,0.328,2.165,65,5.7930136,4.1743875,33.559006,0.6843,7.680176
"BALTIMORE, MD","SALT LAKE CITY, UT",172,1.866,0.354,178,7.5315523,5.1817837,56.72428,0.2915,5.869297
"BALTIMORE, MD","SAN ANTONIO, TX",173,1.408,0.403,172,7.2499256,5.1474943,52.56142,0.4711,5.9989367
"BALTIMORE, MD","SAN DIEGO, CA",174,2.297,0.764,193,7.7393594,5.26269,59.897682,0.1918,6.638568
"BALTIMORE, MD","SAN FRANCISCO, CA",175,2.458,1.107,255,7.807103,5.5412636,60.95086,0.4509,7.009409
"BALTIMORE, MD","SAN JOSE, CA",176,2.441,0.34,240,7.8001633,5.480639,60.84255,0.2293,5.8289456
"BALTIMORE, MD","SEATTLE, WA",177,2.337,0.589,209,7.7566233,5.3423343,60.165203,0.2298,6.378426
"BALTIMORE, MD","ST. LOUIS, MO",178,0.737,1.083,129,6.6025877,4.8598123,43.594166,0.4754,6.98749
"BALTIMORE, MD","TAMPA, FL",179,0.842,1.143,116,6.7357802,4.75359,45.370735,0.576,7.041412
"BALTIMORE, MD","WEST PALM BEACH, FL",180,0.883,0.239,150,6.783325,5.0106354,46.0135,0.8908,5.4764633
"BATON ROUGE, LA","DALLAS, TX",181,0.383,0.173,154,5.948035,5.0369525,35.379116,0.5477,5.1532917
"BATON ROUGE, LA","HOUSTON, TX",182,0.253,0.084,241,5.5333896,5.484797,30.6184,0.9728,4.4308167
"BIRMINGHAM, AL","CHICAGO, IL",183,0.57,0.434,135,6.3456364,4.905275,40.2671,0.6343,6.0730443
"BIRMINGHAM, AL","DALLAS, TX",184,0.597,0.262,185,6.391917,5.220356,40.856606,0.4389,5.5683446
"BIRMINGHAM, AL","DETROIT, MI",185,0.626,0.183,163,6.4393506,5.09375,41.465237,0.66980004,5.209486
"BIRMINGHAM, AL","HOUSTON, TX",186,0.57,0.364,131,6.3456364,4.8751974,40.2671,0.5603,5.897154
"BIRMINGHAM, AL","LOS ANGELES, CA",187,1.818,0.179,206,7.505492,5.327876,56.332413,0.3848,5.187386
"BIRMINGHAM, AL","NEW ORLEANS, LA",188,0.321,0.394,72,5.771441,4.276666,33.309532,0.96309996,5.976351
"BIRMINGHAM, AL","NEW YORK, NY",189,0.862,0.368,212,6.7592554,5.3565865,45.687534,0.42169997,5.908083
"BIRMINGHAM, AL","ORLANDO, FL",190,0.478,0.377,108,6.1696105,4.6821313,38.064095,0.4967,5.9322453
"BIRMINGHAM, AL","ST. LOUIS, MO",191,0.411,0.143,123,6.0185933,4.8121843,36.223465,0.6041,4.962845
"BIRMINGHAM, AL","TAMPA, FL",192,0.46,0.311,101,6.1312265,4.6151204,37.591938,0.8092,5.739793
"BLOOMINGTON, IL","ORLANDO, FL",193,0.937,0.119,138,6.8426833,4.9272537,46.822315,0.7406,4.7791233
"BOISE, ID","DENVER, CO",194,0.65,0.199,240,6.4769726,5.480639,41.951176,0.7284,5.293305
"BOISE, ID","LAS VEGAS, NV",195,0.52,0.265,99,6.253829,4.59512,39.11038,0.8798,5.57973
"BOISE, ID","LOS ANGELES, CA",196,0.675,0.312,124,6.514713,4.8202815,42.441483,0.5399,5.7430034
"BOISE, ID","PHOENIX, AZ",197,0.736,0.279,121,6.60123,4.7957907,43.57624,0.56380004,5.6312118
"BOISE, ID","PORTLAND, OR",198,0.344,0.729,78,5.8406415,4.356709,34.113094,0.6155,6.591674
"BOISE, ID","RENO, NV",199,0.335,0.162,72,5.8141303,4.276666,33.80411,0.9839,5.0875964
"BOISE, ID","SALT LAKE CITY, UT",200,0.291,0.405,69,5.673323,4.2341065,32.186596,0.505,6.003887
"BOISE, ID","SAN FRANCISCO, CA",201,0.522,0.225,143,6.2576675,4.962845,39.1584,0.95309997,5.4161005
"BOISE, ID","SEATTLE, WA",202,0.399,0.831,80,5.988961,4.3820267,35.867657,0.51,6.72263
"BOISE, ID","SPOKANE, WA",203,0.287,0.445,66,5.659482,4.189655,32.029736,0.6772,6.0980744
"BOSTON, MA","BUFFALO, NY",204,0.396,0.212,210,5.9814143,5.3471074,35.777317,0.9307,5.3565865
"BOSTON, MA","CHARLOTTE, NC",205,0.727,0.389,271,6.5889263,5.602119,43.41395,0.9206,5.963579
"BOSTON, MA","CHICAGO, IL",206,0.867,2.309,243,6.765039,5.4930615,45.76575,0.4289,7.74457
"BOSTON, MA","CINCINNATI, OH",207,0.752,0.374,263,6.6227365,5.572154,43.860638,0.8706,5.924256
"BOSTON, MA","CLEVELAND, OH",208,0.563,0.402,251,6.3332796,5.525453,40.11043,0.83599997,5.996452
"BOSTON, MA","CO SPRINGS, CO",209,1.783,0.139,250,7.4860525,5.521461,56.04098,0.4039,4.934474
"BOSTON, MA","COLUMBUS, OH",210,0.64,0.323,195,6.461468,5.273,41.750572,0.42369998,5.7776523
"BOSTON, MA","DALLAS, TX",211,1.562,1.216,364,7.353722,5.897154,54.07723,0.5827,7.103322
"BOSTON, MA","DENVER, CO",212,1.754,1.043,273,7.469654,5.609472,55.79573,0.6377,6.9498563
"BOSTON, MA","DETROIT, MI",213,0.632,0.647,274,6.4488893,5.613128,41.588173,0.85330003,6.4723463
"BOSTON, MA","FT. LAUDERDALE, FL",214,1.237,1.682,135,7.1204443,4.905275,50.700726,0.5671,7.4277387
"BOSTON, MA","FT. MYERS, FL",215,1.249,0.745,142,7.1300983,4.955827,50.838303,0.78580004,6.6133842
"BOSTON, MA","GREENSBORO, NC",216,0.646,0.241,154,6.4707994,5.0369525,41.871246,0.8257,5.484797
"BOSTON, MA","HOUSTON, TX",217,1.597,0.739,317,7.375882,5.7589016,54.403637,0.72589993,6.605298
"BOSTON, MA","INDIANAPOLIS, IN",218,0.818,0.32,207,6.7068624,5.332719,44.982002,0.6254,5.768321
"BOSTON, MA","JACKSONVILLE, FL",219,1.012,0.271,132,6.919684,4.882802,47.882027,0.4697,5.602119
"BOSTON, MA","KANSAS CITY, MO",220,1.258,0.319,228,7.1372786,5.4293456,50.940746,0.4268,5.765191
"BOSTON, MA","LOS ANGELES, CA",221,2.611,1.592,366,7.8674884,5.902633,61.897373,0.3686,7.3727465
"BOSTON, MA","MEMPHIS, TN",222,1.14,0.242,211,7.0387836,5.351858,49.544476,0.7825,5.488938
"BOSTON, MA","MIAMI, FL",223,1.258,0.76,198,7.1372786,5.288267,50.940746,0.70199996,6.6333184
"BOSTON, MA","MILWAUKEE, WI",224,0.86,0.334,223,6.7569323,5.4071717,45.65613,0.6713,5.811141
"BOSTON, MA","MINNEAPOLIS, MN",225,1.124,1.01,247,7.024649,5.5093884,49.345695,0.7626,6.9177055
"BOSTON, MA","MYRTLE BEACH, SC",226,0.739,0.204,101,6.605298,4.6151204,43.629963,0.62310004,5.31812
